Name;Radius[km];Mass[earths];DistanceToSun[Mkm];OrbitalPeriod[earthYears];mode;color
string;float;float;float;float;int;string
Sun;696342.00;333000.00;;;1;ffff00
Mercury;2440.00;0.055;63.81;0.241;0;a9a9a9
Venus;6052.00;0.815;107.59;0.615;0;808080
Earth;6371.00;1.000;151.48;1.000;0;0000ff
Mars;3390.00;0.107;248.84;1.881;0;ff0000
Jupiter;69911.00;317.800;755.91;11.862;0;f4a460
Saturn;58232.00;95.160;1487.80;29.457;0;faebd7
Uranus;25362.00;14.540;2954.60;84.021;0;7fffd4
Neptune;24622.00;17150.000;4475.50;164.800;0;00008b